step,loss,pred_loss,sigreg_tokens,sigreg_cls,lr,grad_norm,tokens_per_s,mean_std,effective_rank,cos_real,cos_shuffled,cos_gap,ema_momentum,peak_memory_mb,elapsed_s
25,0.3654828667640686,0.35704880952835083,0.09567880630493164,0.07300253212451935,7.5e-05,0.2868782877922058,3816.738133193757,0.8633235096931458,189.80929565429688,0.5088245272636414,0.5065460205078125,0.0022785067558288574,0.9961066666666667,8320.203125,27.70245070796227
50,0.2997017800807953,0.29684561491012573,0.024113258346915245,0.03301025554537773,0.00015,0.17496800422668457,3533.8019124135976,0.9621483087539673,176.9000244140625,0.6382536292076111,0.6330223679542542,0.005231261253356934,0.9962177777777778,10379.171875,59.14279774995521
75,0.26861003041267395,0.26523125171661377,0.02636427991092205,0.041211582720279694,0.000225,0.1410265564918518,3227.1418761979035,0.958304762840271,176.06597900390625,0.6707318425178528,0.6346681714057922,0.03606367111206055,0.9963288888888889,10384.703125,93.26713462499902
100,0.26187705993652344,0.2585514485836029,0.023441661149263382,0.04307081177830696,0.0003,0.17221635580062866,3604.471616268674,0.9588967561721802,170.4911346435547,0.6724864840507507,0.6015040874481201,0.07098239660263062,0.99644,10387.765625,124.45046866696794
125,0.2316935509443283,0.22900444269180298,0.02273191511631012,0.03105022758245468,0.00029934095174355733,0.20651239156723022,3531.905419552415,0.9581376314163208,166.3775634765625,0.727461576461792,0.6301197409629822,0.09734183549880981,0.996551111111111,10389.328125,157.2874326669844
150,0.22048106789588928,0.21692772209644318,0.02616143226623535,0.044905588030815125,0.0002972592593305908,0.19806361198425293,3206.2037538230156,0.9529664516448975,163.42800903320312,0.7483715415000916,0.6452489495277405,0.10312259197235107,0.9966622222222222,10391.984375,191.52224429196212
175,0.20873917639255524,0.20605720579624176,0.024898264557123184,0.02874123677611351,0.0002937738255701544,0.1706046760082245,3340.539734957151,0.9505330324172974,160.54000854492188,0.7634118795394897,0.6302498579025269,0.1331620216369629,0.9967733333333333,10393.234375,224.82903541700216
200,0.18701568245887756,0.18428407609462738,0.022265342995524406,0.03236690163612366,0.000288918217094693,0.19644905626773834,3021.434138038887,0.9551552534103394,163.39060974121094,0.7911691069602966,0.6460434794425964,0.1451256275177002,0.9968844444444445,10393.984375,262.9423330829595
225,0.17034414410591125,0.1680951565504074,0.018773946911096573,0.026205655187368393,0.000282739196068171,0.2138914316892624,3076.517061826034,0.957874059677124,161.50531005859375,0.8124567866325378,0.6732293963432312,0.13922739028930664,0.9969955555555555,10395.234375,297.4829433329869
250,0.15439464151859283,0.15209999680519104,0.018279479816555977,0.027613423764705658,0.00027529626984087015,0.16225013136863708,3157.4084076310446,0.9592533707618713,162.3102264404297,0.8304877877235413,0.680573046207428,0.14991474151611328,0.9971066666666667,10396.953125,330.5277404169901
275,0.14738185703754425,0.14507435262203217,0.015855055302381516,0.03029491752386093,0.0002666611178610768,0.2513434588909149,3423.636533637379,0.9576456546783447,161.09104919433594,0.8382805585861206,0.6722520589828491,0.16602849960327148,0.9972177777777778,10398.671875,360.78340366698103
300,0.15109463036060333,0.14933843910694122,0.01733231171965599,0.01779145747423172,0.0002569169013628106,0.21204936504364014,3539.46646550561,0.9557502269744873,161.11570739746094,0.8328851461410522,0.6425397992134094,0.19034534692764282,0.9973288888888889,10400.234375,391.46682504197815
325,0.1309373378753662,0.12807509303092957,0.024941619485616684,0.03230319917201996,0.0002461574624776804,0.33965423703193665,3173.9148875080787,0.941009521484375,163.76150512695312,0.8575518727302551,0.6999838948249817,0.15756797790527344,0.99744,10401.640625,425.213551874971
350,0.13547302782535553,0.13351251184940338,0.017209364101290703,0.022001095116138458,0.00023448642048385762,0.18772126734256744,3299.9010883589494,0.9552164077758789,163.52186584472656,0.8504037261009216,0.6611364483833313,0.18926727771759033,0.997551111111111,10402.703125,459.28274829196744
375,0.13205182552337646,0.13019806146621704,0.015286100097000599,0.02178928628563881,0.00022201617389578325,0.1956651210784912,3157.626373505422,0.9576067924499512,166.2032012939453,0.8547224402427673,0.6428167819976807,0.21190565824508667,0.9976622222222222,10403.328125,495.30165729200235
400,0.1247326135635376,0.1226966455578804,0.019330864772200584,0.02138853259384632,0.00020886681800503078,0.29340070486068726,3158.9020093742934,0.9483041763305664,165.55262756347656,0.8637087345123291,0.685279369354248,0.17842936515808105,0.9977733333333333,10404.265625,530.1261400829535
425,0.13025690615177155,0.1286873072385788,0.011792492121458054,0.01959947496652603,0.0001951649882969971,0.1749599277973175,3488.3649532610134,0.959810733795166,167.8491973876953,0.8565413951873779,0.6519493460655212,0.2045920491218567,0.9978844444444445,10404.890625,562.9602787919575
450,0.1293582022190094,0.12784717977046967,0.010196044109761715,0.020024260506033897,0.00018104264088195275,0.17183418571949005,3470.764835174796,0.9595049619674683,168.07489013671875,0.8569958806037903,0.6364893913269043,0.220506489276886,0.9979955555555555,10405.046875,595.4408081249567
475,0.12200251966714859,0.12046588212251663,0.008707024157047272,0.02202567085623741,0.00016663578168556493,0.15734289586544037,3812.7628970325422,0.9609891772270203,168.29470825195312,0.8660131096839905,0.6523863673210144,0.21362674236297607,0.9981066666666667,10406.140625,625.541732291982
500,0.11824952065944672,0.11648929119110107,0.015404501929879189,0.019800085574388504,0.0001520831566374852,0.15541639924049377,3218.1879988549763,0.9517054557800293,167.55267333984375,0.8705660104751587,0.6778621673583984,0.19270384311676025,0.9982177777777778,10406.765625,661.2058359999792
525,0.1295434534549713,0.1277858316898346,0.014315019361674786,0.02083754912018776,0.00013752491547220063,0.16137848794460297,3344.329577813654,0.9536528587341309,169.15499877929688,0.855613648891449,0.6248236298561096,0.23079001903533936,0.9983288888888889,10407.234375,694.5247004579869
550,0.11497940868139267,0.1130216047167778,0.012381140142679214,0.026774875819683075,0.00012310126201047706,0.14922752976417542,3520.6869907542978,0.9554983377456665,169.653076171875,0.8742433786392212,0.6568269729614258,0.2174164056777954,0.99844,10407.703125,726.3194439579966
575,0.12436897307634354,0.1228518858551979,0.009991302154958248,0.020350374281406403,0.00010895110391992192,0.1209796816110611,3424.930028649811,0.9576603174209595,171.4853515625,0.862307071685791,0.6244774460792542,0.23782962560653687,0.9985511111111111,10408.015625,757.898117374978
600,0.12902212142944336,0.12763802707195282,0.01070572342723608,0.016976021230220795,9.521071495821059e-05,0.1382770985364914,3105.964682096457,0.9550395607948303,170.80929565429688,0.856551468372345,0.603538453578949,0.253013014793396,0.9986622222222222,10408.796875,793.611393500003
