step,loss,pred_loss,sigreg_tokens,sigreg_cls,lr,grad_norm,tokens_per_s,mean_std,effective_rank,cos_real,cos_shuffled,cos_gap,ema_momentum,peak_memory_mb,elapsed_s
25,0.34385401010513306,0.34385401010513306,0.0,0.0,7.5e-05,0.39934241771698,2946.181057709234,0.5124680399894714,201.6114044189453,0.5756159424781799,0.5745396018028259,0.001076340675354004,nan,8312.203125,35.88815416599391
50,0.22650864720344543,0.22650864720344543,0.0,0.0,0.00015,0.3593704402446747,2947.0271941592905,0.3456422686576843,205.95803833007812,0.8389308452606201,0.8384438753128052,0.0004869699478149414,nan,10363.171875,73.6660915830289
75,0.2255065143108368,0.2255065143108368,0.0,0.0,0.000225,0.25153353810310364,3342.9077251229605,0.5918083190917969,177.19635009765625,0.7352733016014099,0.7323445677757263,0.0029287338256835938,nan,10368.703125,106.35615595802665
100,0.216377854347229,0.216377854347229,0.0,0.0,0.0003,0.28937286138534546,3906.9748121908538,0.733178973197937,125.3971939086914,0.820652186870575,0.8004071116447449,0.020245075225830078,nan,10371.515625,135.10091370798182
125,0.109962597489357,0.109962597489357,0.0,0.0,0.00029934095174355733,1.2590540647506714,3847.1724665071383,0.5291919708251953,160.89820861816406,0.8883109092712402,0.8759156465530396,0.012395262718200684,nan,10373.328125,165.2330584580195
150,0.041018836200237274,0.041018836200237274,0.0,0.0,0.0002972592593305908,0.4297948181629181,4060.7457509999367,0.5655136108398438,141.282958984375,0.9578886032104492,0.9497538208961487,0.008134782314300537,nan,10375.984375,192.20291879103752
175,0.057767000049352646,0.057767000049352646,0.0,0.0,0.0002937738255701544,0.45893239974975586,3869.0724849359476,0.7383198738098145,123.75450134277344,0.9425375461578369,0.9212560057640076,0.021281540393829346,nan,10377.234375,220.954885166022
200,0.04236053675413132,0.04236053675413132,0.0,0.0,0.000288918217094693,0.24677574634552002,3423.4820890863325,0.3728468716144562,175.1736297607422,0.9579313397407532,0.9539802670478821,0.003951072692871094,nan,10385.984375,254.50068937498145
225,0.01100695226341486,0.01100695226341486,0.0,0.0,0.000282739196068171,0.0324886329472065,3822.056053848761,0.13581174612045288,235.65042114257812,0.9890274405479431,0.9889889359474182,3.8504600524902344e-05,nan,10387.234375,282.1167222909862
250,0.010078703053295612,0.010078703053295612,0.0,0.0,0.00027529626984087015,0.01303560845553875,3686.546960081418,0.1380852460861206,236.6672821044922,0.9898894429206848,0.9898693561553955,2.008676528930664e-05,nan,10388.953125,310.3259327909909
275,0.010101630352437496,0.010101630352437496,0.0,0.0,0.0002666611178610768,0.012740379199385643,3935.9065362020197,0.13783210515975952,238.41192626953125,0.9898660778999329,0.9898005723953247,6.55055046081543e-05,nan,10390.671875,336.5593902079854
300,0.010459541343152523,0.010459541343152523,0.0,0.0,0.0002569169013628106,0.011723806150257587,4103.949238597729,0.14335040748119354,236.16043090820312,0.9895027279853821,0.9893954396247864,0.00010728836059570312,nan,10392.234375,362.81786066602217
325,0.010303019545972347,0.010303019545972347,0.0,0.0,0.0002461574624776804,0.02002706751227379,3526.5402786922155,0.14100760221481323,238.7397918701172,0.9896740317344666,0.9895144104957581,0.0001596212387084961,nan,10393.640625,393.1338671250269
350,0.030318131670355797,0.030318131670355797,0.0,0.0,0.00023448642048385762,0.14748156070709229,3653.9413705395177,0.1372872292995453,236.3193817138672,0.9724471569061279,0.972354531288147,9.262561798095703e-05,nan,10394.703125,423.8774742499809
375,0.05461885780096054,0.05461885780096054,0.0,0.0,0.00022201617389578325,0.19253230094909668,3627.0802165138343,0.5268429517745972,151.5510711669922,0.9315654039382935,0.9194602370262146,0.012105166912078857,nan,10395.328125,455.1698176659993
400,0.011979860253632069,0.011979860253632069,0.0,0.0,0.00020886681800503078,0.03170660510659218,3498.775131183627,0.14939995110034943,232.9548797607422,0.9881203770637512,0.988075315952301,4.506111145019531e-05,nan,10396.265625,486.45507562498096
425,0.011057536117732525,0.011057536117732525,0.0,0.0,0.0001951649882969971,0.012818402610719204,3545.8399772048438,0.14344777166843414,238.20489501953125,0.9889346361160278,0.9888932704925537,4.1365623474121094e-05,nan,10396.890625,518.7555464159814
450,0.011009879410266876,0.011009879410266876,0.0,0.0,0.00018104264088195275,0.006653530988842249,2977.1558343986853,0.1443438082933426,237.58790588378906,0.9889886379241943,0.9889398813247681,4.875659942626953e-05,nan,10397.046875,556.7509128749953
475,0.010886027477681637,0.010886027477681637,0.0,0.0,0.00016663578168556493,0.010206779465079308,3309.039624163947,0.1443505734205246,237.40330505371094,0.989084005355835,0.9890137314796448,7.027387619018555e-05,nan,10398.140625,591.664571915986
500,0.010740293189883232,0.010740293189883232,0.0,0.0,0.0001520831566374852,0.006211019121110439,3040.1793188842516,0.14386160671710968,237.3978729248047,0.9892184734344482,0.9891334772109985,8.499622344970703e-05,nan,10398.765625,629.4852638749871
525,0.010901139117777348,0.010901139117777348,0.0,0.0,0.00013752491547220063,0.007516548968851566,1621.1513283934357,0.1461467742919922,237.0728759765625,0.9890606999397278,0.9889548420906067,0.00010585784912109375,nan,10399.234375,698.0702925000223
550,0.01110037975013256,0.01110037975013256,0.0,0.0,0.00012310126201047706,0.024850433692336082,2053.9815496477763,0.14985784888267517,234.87142944335938,0.9888541102409363,0.9886991381645203,0.00015497207641601562,nan,10399.703125,752.6127940409933
575,0.015566656365990639,0.015566656365990639,0.0,0.0,0.00010895110391992192,0.09262984991073608,2649.067298678865,0.1436382383108139,234.8218231201172,0.9851242303848267,0.9849557280540466,0.0001685023307800293,nan,10400.015625,793.8755991249927
600,0.06508425623178482,0.06508425623178482,0.0,0.0,9.521071495821059e-05,0.24359874427318573,2693.8659368390736,0.14370019733905792,237.81289672851562,0.9338314533233643,0.93361896276474,0.00021249055862426758,nan,10400.796875,835.1668607080355
625,0.07281138002872467,0.07281138002872467,0.0,0.0,8.201242258230487e-05,0.25031352043151855,1774.6307732473313,0.1431647092103958,234.4265594482422,0.9397913217544556,0.9395652413368225,0.00022608041763305664,nan,10401.109375,898.258340750006
650,0.03226659446954727,0.03226659446954727,0.0,0.0,6.94833335627053e-05,0.15137410163879395,3173.5044792666654,0.1415184736251831,235.528076171875,0.9727586507797241,0.9726415872573853,0.00011706352233886719,nan,10401.421875,932.9300613329979
675,0.021805159747600555,0.021805159747600555,0.0,0.0,5.774410987576741e-05,0.11019763350486755,3063.5755312274805,0.14158260822296143,234.92575073242188,0.9813117980957031,0.9811988472938538,0.00011295080184936523,nan,10402.359375,969.3810707079829
700,0.017802536487579346,0.017802536487579346,0.0,0.0,4.690780666290881e-05,0.08884447067975998,2972.6580884537743,0.14242422580718994,232.86558532714844,0.9841229319572449,0.9839690923690796,0.0001538395881652832,nan,10402.671875,1007.0469917909941
725,0.01604834757745266,0.01604834757745266,0.0,0.0,3.7078783447795306e-05,0.08074727654457092,2983.4951854147653,0.13734306395053864,233.31539916992188,0.9856789112091064,0.9855301380157471,0.000148773193359375,nan,10403.421875,1043.519461916003
750,0.015334987081587315,0.015334987081587315,0.0,0.0,2.8351699097078997e-05,0.07406500726938248,3008.8355817763168,0.1402425765991211,231.5150604248047,0.9861270785331726,0.9859558939933777,0.00017118453979492188,nan,10403.890625,1079.6983721660217
775,0.013284432701766491,0.013284432701766491,0.0,0.0,2.0810600203766905e-05,0.06357120722532272,2326.6906509033306,0.13755396008491516,232.23484802246094,0.9871065020561218,0.9869927763938904,0.00011372566223144531,nan,10404.203125,1127.473085250007
