step,loss,pred_loss,sigreg_tokens,sigreg_cls,lr,grad_norm,tokens_per_s,mean_std,effective_rank,cos_real,cos_shuffled,cos_gap,ema_momentum,peak_memory_mb,elapsed_s
25,0.40087854862213135,0.3920401632785797,0.08096849918365479,0.09579897671937943,7.5e-05,0.26957347989082336,3994.3626231635685,0.8807392120361328,188.6502685546875,0.3112141191959381,0.3072211742401123,0.003992944955825806,nan,8328.203125,26.470556124986615
50,0.3465985059738159,0.3432879149913788,0.025953680276870728,0.040258243680000305,0.00015,0.20183469355106354,3226.2338969707994,0.9600503444671631,165.29879760742188,0.5638964772224426,0.5411568284034729,0.022739648818969727,nan,10363.171875,60.915861499961466
75,0.31056246161460876,0.30489328503608704,0.04181230813264847,0.07157102227210999,0.000225,0.19726786017417908,3422.6399579511326,0.9346621036529541,162.62057495117188,0.6434800624847412,0.6079970002174377,0.03548306226730347,nan,10376.703125,92.91403591597918
100,0.26287952065467834,0.2570257782936096,0.05581043288111687,0.06126469373703003,0.0003,0.22052821516990662,3805.1670437467683,0.9202940464019775,149.26083374023438,0.7207562923431396,0.6842339634895325,0.03652232885360718,nan,10379.765625,122.64187037496595
125,0.19927990436553955,0.1908455640077591,0.08807870000600815,0.08060822635889053,0.00029934095174355733,0.24639667570590973,3601.213206345185,0.8772572875022888,136.74887084960938,0.8112925887107849,0.7694398164749146,0.04185277223587036,nan,10381.328125,154.972367499955
150,0.1128835678100586,0.10489576309919357,0.08076757192611694,0.07898857444524765,0.0002972592593305908,0.2288924604654312,3601.2662936990246,0.8730306625366211,118.97410583496094,0.9071077108383179,0.8798230886459351,0.027284622192382812,nan,10383.984375,185.5886769159697
175,0.09065943211317062,0.07813022285699844,0.14437511563301086,0.10620908439159393,0.0002937738255701544,0.39943233132362366,3131.5600708244156,0.7905281186103821,114.27571105957031,0.9239451885223389,0.8981921672821045,0.025753021240234375,nan,10385.234375,221.28276608296437
200,0.05911138281226158,0.05200439691543579,0.06575915962457657,0.07638055086135864,0.000288918217094693,0.3089235723018646,3309.0171228813774,0.8966001272201538,98.75714111328125,0.9466062188148499,0.9158137440681458,0.0307924747467041,nan,10385.984375,256.1902517499984
225,0.04786360263824463,0.0424216091632843,0.05490716174244881,0.053932685405015945,0.000282739196068171,0.32632118463516235,3628.23981879223,0.9177809357643127,92.31864929199219,0.9563981890678406,0.9242955446243286,0.03210264444351196,nan,10387.234375,285.4990026250016
250,0.06010938063263893,0.05402953177690506,0.055379435420036316,0.06621751934289932,0.00027529626984087015,0.8662008047103882,3549.331280779192,0.907066822052002,96.68228149414062,0.9435663223266602,0.9116261601448059,0.03194016218185425,nan,10388.953125,314.9977245409973
275,0.05407921224832535,0.04757105931639671,0.07573205232620239,0.05443102866411209,0.0002666611178610768,0.4216963052749634,3918.3450502785936,0.887692928314209,106.19813537597656,0.9525143504142761,0.9234226942062378,0.02909165620803833,nan,10390.671875,341.5174395829672
300,0.04538074880838394,0.037132687866687775,0.08870244026184082,0.07625875622034073,0.0002569169013628106,0.35604992508888245,3849.7371288491654,0.8476765155792236,106.19029235839844,0.9622456431388855,0.9306902885437012,0.031555354595184326,nan,10392.234375,369.6702866659616
325,0.04770894721150398,0.038037002086639404,0.12073048949241638,0.07270842790603638,0.0002461574624776804,0.09692710638046265,3612.227409038108,0.8058257102966309,112.68975067138672,0.9617895483970642,0.9267371296882629,0.03505241870880127,nan,10393.640625,399.42905449995305
350,0.04367471858859062,0.03668247163295746,0.06989572942256927,0.06994923949241638,0.00023448642048385762,0.18091654777526855,3593.0513522813762,0.8950331211090088,100.83036804199219,0.9642190933227539,0.9392732977867126,0.02494579553604126,nan,10394.703125,430.85789366596146
375,0.046768829226493835,0.032494790852069855,0.15969708561897278,0.12578371167182922,0.00022201617389578325,0.14049115777015686,3830.640842330836,0.7589759826660156,117.98881530761719,0.9673134088516235,0.9397348761558533,0.027578532695770264,nan,10395.328125,460.67482204094995
400,0.05246316269040108,0.04639296978712082,0.0683310329914093,0.05307280644774437,0.00020886681800503078,1.1247131824493408,3662.4107797607453,0.8804402351379395,102.8080825805664,0.9523873329162598,0.9212626218795776,0.03112471103668213,nan,10396.265625,490.6642216249602
425,0.051981449127197266,0.04455551877617836,0.09031370282173157,0.05820491909980774,0.0001951649882969971,0.5209290385246277,4021.7828609692524,0.8562155961990356,106.6473388671875,0.9534263014793396,0.9222717881202698,0.031154513359069824,nan,10396.890625,519.2839780409704
450,0.035317208617925644,0.030356183648109436,0.04988601803779602,0.04933448135852814,0.00018104264088195275,0.23792949318885803,3747.0332472016307,0.9067355394363403,100.1407699584961,0.9689778089523315,0.9419246912002563,0.027053117752075195,nan,10397.046875,549.5622164160013
475,0.03957074508070946,0.03244854882359505,0.07444776594638824,0.06799616664648056,0.00016663578168556493,0.1722385734319687,3969.123946088088,0.8641467094421387,104.8252944946289,0.9666773080825806,0.934440016746521,0.03223729133605957,nan,10398.140625,579.0117797499988
500,0.04163726791739464,0.034628309309482574,0.07370710372924805,0.06647209823131561,0.0001520831566374852,0.12518155574798584,3499.617459034504,0.8651779294013977,109.19999694824219,0.9648273587226868,0.9314114451408386,0.033415913581848145,nan,10398.765625,611.9937922499957
525,0.04624197632074356,0.039910148829221725,0.06802964210510254,0.058606937527656555,0.00013752491547220063,0.28269651532173157,3837.1535010749803,0.8738306760787964,109.48634338378906,0.9592815637588501,0.914008378982544,0.04527318477630615,nan,10399.234375,641.155636624957
550,0.03845017030835152,0.03329571336507797,0.048903923481702805,0.05418519675731659,0.00012310126201047706,0.1588432639837265,3760.6227525917584,0.8958514928817749,107.88265228271484,0.966732382774353,0.9312995672225952,0.03543281555175781,nan,10399.703125,671.0177975409897
575,0.07732437551021576,0.07167910039424896,0.06168808788061142,0.05121735483407974,0.00010895110391992192,0.25386738777160645,3716.212351642646,0.8833587169647217,109.35736083984375,0.9080025553703308,0.8781414031982422,0.029861152172088623,nan,10400.015625,700.1921878329595
600,0.0760219618678093,0.0704321637749672,0.06641073524951935,0.04538525640964508,9.521071495821059e-05,0.31357017159461975,3576.973955500288,0.8726022243499756,108.9988784790039,0.9061614274978638,0.8765596151351929,0.0296018123626709,nan,10400.796875,731.267553832964
625,0.043754782527685165,0.036832086741924286,0.07247194647789001,0.06598197668790817,8.201242258230487e-05,0.181082621216774,3611.444130271339,0.8720192909240723,109.88430786132812,0.9626128673553467,0.9368324279785156,0.025780439376831055,nan,10401.109375,762.451271332975
650,0.04621854051947594,0.039570990949869156,0.07761815190315247,0.055332839488983154,6.94833335627053e-05,0.35980796813964844,3956.416408711992,0.8692322373390198,112.78495788574219,0.9598003625869751,0.9232644438743591,0.03653591871261597,nan,10401.421875,790.2294117079582
